nid	len
571704	1212
567657	1212
573381	1212
577745	1212
574420	1212
568844	1211
577558	1211
572448	1211
568866	1211
574356	1211
570548	1211
570549	1211
570550	1211
572101	1211
577550	1210
576579	1210
577655	1210
569522	1210
571840	1210
568770	1210
570116	1209
578849	1209
567950	1209
580313	1209
568036	1209
569070	1209
574240	1208
570410	1208
571879	1208
569095	1207
572704	1207
573317	1207
576405	1207
580302	1207
577773	1207
569623	1206
578006	1206
576839	1205
570979	1205
579012	1205
574419	1205
571646	1205
573442	1204
570388	1204
572050	1204
571810	1204
580529	1204
574470	1203
578375	1203
574332	1203
570571	1203
579565	1203
579828	1203
568924	1202
580213	1202
572539	1202
577529	1202
577104	1201
574562	1201
576695	1201
574421	1200
567937	1199
571783	1199
568743	1199
569010	1199
576965	1199
574436	1199
569113	1198
569014	1198
578531	1198
574483	1197
571868	1197
568561	1197
574206	1197
570464	1196
577891	1196
570484	1196
570819	1196
576981	1196
571721	1195
571470	1195
573314	1195
568714	1195
571071	1195
574191	1195
573432	1195
568584	1194
568896	1194
567671	1194
569566	1194
567698	1193
567515	1193
579506	1192
578767	1192
577456	1191
571065	1191
575971	1191
578916	1190
568464	1190
574159	1190
576213	1190
569064	1190
574489	1189
574582	1189
575896	1189
577965	1189
571236	1188
568957	1188
574272	1187
579434	1187
577948	1187
572345	1187
569897	1186
577890	1186
568727	1186
569009	1186
572346	1186
577223	1186
571129	1186
572343	1185
579583	1185
574367	1184
569032	1184
575690	1184
576218	1184
572012	1183
568718	1183
572638	1183
568858	1182
571207	1182
574306	1181
576377	1181
571020	1181
575937	1181
568816	1181
574453	1181
568923	1180
571066	1180
576206	1180
576575	1179
577956	1179
580274	1179
573708	1178
574560	1178
570220	1178
576182	1178
575991	1178
570370	1177
577316	1177
576297	1177
569436	1177
568452	1176
571344	1176
571364	1176
569085	1176
571222	1175
577897	1175
569040	1175
577839	1174
570995	1174
570005	1174
576983	1174
572553	1172
574322	1171
577191	1171
577514	1171
577520	1171
567561	1170
578104	1170
576828	1170
571261	1170
576452	1169
571213	1168
577179	1168
572409	1168
576817	1167
576145	1167
568005	1167
571347	1167
571617	1167
571903	1167
578965	1166
573864	1166
579560	1166
571947	1165
570412	1165
578661	1165
574593	1165
576957	1165
579341	1164
576221	1164
577259	1164
577949	1163
579231	1163
576464	1163
567810	1162
572748	1162
571725	1162
579405	1162
576439	1162
571881	1162
574235	1161
569449	1161
567971	1161
573444	1160
577820	1160
578607	1160
577696	1160
571874	1160
572436	1159
571219	1159
576374	1159
578769	1159
578530	1159
571665	1158
572322	1158
572373	1158
569317	1158
569895	1157
574254	1157
577782	1157
571420	1156
573327	1156
577959	1156
577018	1156
571227	1155
567690	1155
567997	1155
569023	1155
570426	1154
569446	1154
577762	1154
572455	1153
570240	1153
568977	1153
579493	1153
577845	1152
578388	1152
577187	1152
569775	1152
578223	1152
576779	1151
579358	1151
571251	1151
570911	1150
577902	1150
579186	1150
577221	1150
576470	1150
576574	1149
577638	1149
579458	1149
570124	1148
572730	1148
569237	1148
573711	1147
575527	1147
572720	1147
569041	1147
577242	1146
576737	1146
573375	1145
577264	1145
568052	1145
574238	1144
578096	1144
568695	1144
571927	1143
567935	1143
569100	1142
580496	1142
571133	1142
576793	1141
568711	1141
577743	1141
576567	1140
568845	1139
572698	1139
576420	1139
569559	1139
576483	1139
571334	1138
568023	1138
570120	1137
579595	1137
572463	1137
569011	1137
570081	1137
580518	1136
576259	1135
571417	1135
568919	1135
574585	1135
572636	1135
568810	1135
578088	1134
578922	1134
576664	1134
576961	1134
571146	1133
567851	1133
574507	1133
574275	1133
571061	1133
576958	1133
570838	1133
580689	1132
568746	1132
574273	1130
572797	1130
579197	1130
570017	1130
574605	1129
571892	1129
578312	1128
573778	1128
577634	1128
580525	1128
578888	1127
568951	1127
575880	1127
572043	1127
579340	1126
576818	1126
576850	1126
576477	1126
571196	1125
574366	1125
571343	1125
579335	1124
574233	1124
569714	1124
578418	1124
576740	1124
568363	1123
576379	1123
578985	1123
580530	1123
575944	1123
571116	1123
578567	1122
574532	1122
572487	1122
571336	1122
577229	1121
578981	1120
577228	1120
575984	1120
570901	1119
576831	1119
577211	1119
568060	1119
571957	1118
567665	1118
578898	1117
568732	1117
572853	1117
574403	1117
572395	1117
574304	1116
572309	1116
569015	1116
576973	1116
573659	1116
573409	1116
572426	1115
567626	1115
571252	1115
575864	1115
572547	1115
577798	1114
571067	1113
578010	1113
578529	1113
569081	1113
571958	1112
574228	1111
578374	1111
572031	1111
570778	1111
570797	1111
571346	1111
571161	1110
570920	1110
574052	1110
578441	1110
569997	1110
568991	1110
572341	1110
572603	1110
575508	1109
571951	1109
580168	1109
574116	1109
575964	1109
576991	1109
568035	1109
577888	1108
568677	1108
574330	1108
571056	1108
576183	1108
576963	1108
567625	1107
578917	1107
572351	1107
571340	1107
579639	1106
578117	1106
578857	1105
572318	1105
578206	1105
571421	1104
568886	1104
570724	1104
577908	1104
568314	1104
574502	1103
571394	1102
567650	1102
574566	1102
576125	1102
570856	1102
569031	1101
576502	1101
576797	1100
578880	1100
573341	1100
577463	1100
571988	1099
576433	1099
576713	1099
570861	1099
574459	1099
573981	1098
570725	1098
577945	1098
577126	1097
568707	1097
574596	1097
576665	1097
580528	1097
579531	1097
567890	1096
571531	1096
569253	1096
579504	1096
569025	1096
577237	1096
576759	1096
570129	1095
573474	1095
579116	1095
578697	1095
576149	1095
571362	1095
569089	1094
569428	1094
579419	1094
579468	1094
576225	1094
571106	1094
568834	1093
574210	1093
572456	1093
578124	1093
571248	1093
574355	1093
567975	1093
567992	1093
568524	1093
569553	1093
574432	1093
578295	1093
567857	1092
576066	1092
570437	1092
577209	1092
574490	1091
569005	1091
572220	1090
580436	1090
574424	1090
577772	1090
571905	1089
577392	1089
576942	1089
578113	1088
578125	1088
578214	1088
576946	1088
571353	1088
577808	1087
574323	1087
573329	1087
578208	1087
576515	1086
576432	1086
568590	1085
574236	1085
574558	1085
572293	1085
570010	1085
578729	1085
577267	1085
576970	1084
569292	1084
578722	1083
579490	1083
568739	1083
576392	1082
569745	1082
571119	1082
567621	1081
572264	1081
578415	1081
569083	1081
572836	1080
577282	1079
578593	1079
570457	1079
571636	1079
577548	1078
570475	1078
567986	1078
576770	1077
574604	1077
577726	1077
572095	1077
575774	1076
576826	1076
571708	1076
572300	1076
574537	1075
574036	1075
572520	1075
569489	1075
578893	1074
578824	1073
579379	1073
578111	1073
569511	1073
568571	1073
579777	1072
572359	1072
573641	1072
574197	1072
579592	1071
570131	1071
580697	1071
568909	1070
568454	1070
574457	1070
572689	1069
570910	1069
580207	1069
569456	1069
576370	1069
568952	1069
572434	1068
576362	1067
567998	1067
572639	1067
572167	1066
573967	1066
568978	1066
579774	1066
572170	1065
571939	1065
569465	1065
572032	1065
577962	1065
574388	1065
578919	1064
569046	1064
572550	1063
578203	1063
567708	1063
572457	1062
568890	1062
578938	1062
